name;category;date;y;z;color
40-49 ans;tests positifs / réalisés;13-09-2020;5,62;8434;"#EA7A2A"
40-49 ans;tests positifs / réalisés;20-09-2020;6,59;9915;"#EA7A2A"
40-49 ans;tests positifs / réalisés;27-09-2020;7,93;9751;"#E96F2E"
40-49 ans;tests positifs / réalisés;04-10-2020;10,14;11358;"#E96F2E"
40-49 ans;tests positifs / réalisés;11-10-2020;13,71;18538;"#E96F2E"
40-49 ans;tests positifs / réalisés;18-10-2020;15,02;27052;"#E86333"
40-49 ans;tests positifs / réalisés;25-10-2020;19,97;43346;"#E86333"
40-49 ans;tests positifs / réalisés;01-11-2020;22,12;52499;"#E86333"
40-49 ans;tests positifs / réalisés;08-11-2020;19,81;43403;"#E75737"
40-49 ans;tests positifs / réalisés;15-11-2020;16,05;23617;"#E75737"
40-49 ans;tests positifs / réalisés;22-11-2020;13,29;14311;"#ffffff"
40-49 ans;tests positifs / réalisés;29-11-2020;11,03;8900;"#3498db"
50-59 ans;tests positifs / réalisés;17-05-2020;1,91;415;"#f1c40f"
50-59 ans;tests positifs / réalisés;24-05-2020;1,69;555;"#F0B813"
50-59 ans;tests positifs / réalisés;31-05-2020;1,27;444;"#F0B813"
50-59 ans;tests positifs / réalisés;07-06-2020;1,4;379;"#F0B813"
50-59 ans;tests positifs / réalisés;14-06-2020;1,35;401;"#EEA918"
50-59 ans;tests positifs / réalisés;21-06-2020;1,47;425;"#EEA918"
50-59 ans;tests positifs / réalisés;28-06-2020;1,44;437;"#EEA918"
50-59 ans;tests positifs / réalisés;05-07-2020;1,28;456;"#ED9D1D"
50-59 ans;tests positifs / réalisés;12-07-2020;1,21;496;"#ED9D1D"
50-59 ans;tests positifs / réalisés;19-07-2020;1,34;572;"#ED9D1D"
50-59 ans;tests positifs / réalisés;26-07-2020;1,36;774;"#EC9221"
50-59 ans;tests positifs / réalisés;02-08-2020;1,42;961;"#EC9221"
50-59 ans;tests positifs / réalisés;09-08-2020;1,7;1181;"#EC9221"
50-59 ans;tests positifs / réalisés;16-08-2020;2,67;1834;"#EB8626"
50-59 ans;tests positifs / réalisés;23-08-2020;3,02;2849;"#EB8626"
50-59 ans;tests positifs / réalisés;30-08-2020;3,33;3979;"#EB8626"
50-59 ans;tests positifs / réalisés;06-09-2020;4,39;5530;"#EA7A2A"
50-59 ans;tests positifs / réalisés;13-09-2020;5,85;7399;"#EA7A2A"
50-59 ans;tests positifs / réalisés;20-09-2020;6,98;8580;"#EA7A2A"
50-59 ans;tests positifs / réalisés;27-09-2020;8;8869;"#E96F2E"
50-59 ans;tests positifs / réalisés;04-10-2020;9,56;10063;"#E96F2E"
50-59 ans;tests positifs / réalisés;11-10-2020;13,33;16519;"#E96F2E"
50-59 ans;tests positifs / réalisés;18-10-2020;15,6;24279;"#E86333"
50-59 ans;tests positifs / réalisés;25-10-2020;20,58;40265;"#E86333"
50-59 ans;tests positifs / réalisés;01-11-2020;21,9;50144;"#E86333"
50-59 ans;tests positifs / réalisés;08-11-2020;20,12;43121;"#E75737"
50-59 ans;tests positifs / réalisés;15-11-2020;16,6;24075;"#E75737"
50-59 ans;tests positifs / réalisés;22-11-2020;13,06;13854;"#ffffff"
50-59 ans;tests positifs / réalisés;29-11-2020;10,83;8853;"#3498db"
60-69 ans;tests positifs / réalisés;17-05-2020;1,79;303;"#f1c40f"
60-69 ans;tests positifs / réalisés;24-05-2020;1,54;410;"#F0B813"
60-69 ans;tests positifs / réalisés;31-05-2020;1,16;341;"#F0B813"
60-69 ans;tests positifs / réalisés;07-06-2020;1,14;283;"#F0B813"
60-69 ans;tests positifs / réalisés;14-06-2020;1;279;"#EEA918"
60-69 ans;tests positifs / réalisés;21-06-2020;1,02;292;"#EEA918"
60-69 ans;tests positifs / réalisés;28-06-2020;0,92;269;"#EEA918"
60-69 ans;tests positifs / réalisés;05-07-2020;1;331;"#ED9D1D"
60-69 ans;tests positifs / réalisés;12-07-2020;0,94;351;"#ED9D1D"
60-69 ans;tests positifs / réalisés;19-07-2020;0,97;387;"#ED9D1D"
60-69 ans;tests positifs / réalisés;26-07-2020;1,1;553;"#EC9221"
60-69 ans;tests positifs / réalisés;02-08-2020;1,11;628;"#EC9221"
60-69 ans;tests positifs / réalisés;09-08-2020;1,38;781;"#EC9221"
60-69 ans;tests positifs / réalisés;16-08-2020;1,87;1036;"#EB8626"
60-69 ans;tests positifs / réalisés;23-08-2020;2,37;1678;"#EB8626"
60-69 ans;tests positifs / réalisés;30-08-2020;2,7;2293;"#EB8626"
60-69 ans;tests positifs / réalisés;06-09-2020;3,57;3318;"#EA7A2A"
60-69 ans;tests positifs / réalisés;13-09-2020;4,64;4182;"#EA7A2A"
60-69 ans;tests positifs / réalisés;20-09-2020;5,84;5121;"#EA7A2A"
60-69 ans;tests positifs / réalisés;27-09-2020;6,67;5396;"#E96F2E"
60-69 ans;tests positifs / réalisés;04-10-2020;7,64;6087;"#E96F2E"
60-69 ans;tests positifs / réalisés;11-10-2020;11,18;10268;"#E96F2E"
60-69 ans;tests positifs / réalisés;18-10-2020;14,46;16108;"#E86333"
60-69 ans;tests positifs / réalisés;25-10-2020;19,82;26813;"#E86333"
60-69 ans;tests positifs / réalisés;01-11-2020;20,93;34834;"#E86333"
60-69 ans;tests positifs / réalisés;08-11-2020;19,59;31124;"#E75737"
60-69 ans;tests positifs / réalisés;15-11-2020;15,81;17123;"#E75737"
60-69 ans;tests positifs / réalisés;22-11-2020;11,47;9609;"#ffffff"
60-69 ans;tests positifs / réalisés;29-11-2020;8,2;5716;"#3498db"
70-79 ans;tests positifs / réalisés;17-05-2020;2,24;313;"#f1c40f"
70-79 ans;tests positifs / réalisés;24-05-2020;1,88;431;"#F0B813"
70-79 ans;tests positifs / réalisés;31-05-2020;1,11;285;"#F0B813"
70-79 ans;tests positifs / réalisés;07-06-2020;1,05;233;"#F0B813"
70-79 ans;tests positifs / réalisés;14-06-2020;0,89;220;"#EEA918"
70-79 ans;tests positifs / réalisés;21-06-2020;0,87;223;"#EEA918"
70-79 ans;tests positifs / réalisés;28-06-2020;0,76;195;"#EEA918"
70-79 ans;tests positifs / réalisés;05-07-2020;0,63;177;"#ED9D1D"
70-79 ans;tests positifs / réalisés;12-07-2020;0,7;208;"#ED9D1D"
70-79 ans;tests positifs / réalisés;19-07-2020;0,88;270;"#ED9D1D"
70-79 ans;tests positifs / réalisés;26-07-2020;0,98;378;"#EC9221"
70-79 ans;tests positifs / réalisés;02-08-2020;0,84;351;"#EC9221"
70-79 ans;tests positifs / réalisés;09-08-2020;1,23;510;"#EC9221"
70-79 ans;tests positifs / réalisés;16-08-2020;1,62;633;"#EB8626"
70-79 ans;tests positifs / réalisés;23-08-2020;1,59;765;"#EB8626"
70-79 ans;tests positifs / réalisés;30-08-2020;2,09;1178;"#EB8626"
70-79 ans;tests positifs / réalisés;06-09-2020;2,68;1623;"#EA7A2A"
70-79 ans;tests positifs / réalisés;13-09-2020;3,93;2305;"#EA7A2A"
70-79 ans;tests positifs / réalisés;20-09-2020;4,95;2826;"#EA7A2A"
70-79 ans;tests positifs / réalisés;27-09-2020;5,65;3068;"#E96F2E"
70-79 ans;tests positifs / réalisés;04-10-2020;6,76;3576;"#E96F2E"
70-79 ans;tests positifs / réalisés;11-10-2020;9,83;5695;"#E96F2E"
70-79 ans;tests positifs / réalisés;18-10-2020;13,68;9128;"#E86333"
70-79 ans;tests positifs / réalisés;25-10-2020;20,15;16144;"#E86333"
70-79 ans;tests positifs / réalisés;01-11-2020;21,89;21647;"#E86333"
70-79 ans;tests positifs / réalisés;08-11-2020;20,85;20572;"#E75737"
70-79 ans;tests positifs / réalisés;15-11-2020;16,78;12401;"#E75737"
70-79 ans;tests positifs / réalisés;22-11-2020;11,72;7255;"#ffffff"
70-79 ans;tests positifs / réalisés;29-11-2020;9;4757;"#3498db"
80-89 ans;tests positifs / réalisés;17-05-2020;3,68;511;"#f1c40f"
80-89 ans;tests positifs / réalisés;24-05-2020;3,13;662;"#F0B813"
80-89 ans;tests positifs / réalisés;31-05-2020;1,94;436;"#F0B813"
80-89 ans;tests positifs / réalisés;07-06-2020;1,83;336;"#F0B813"
80-89 ans;tests positifs / réalisés;14-06-2020;1,21;228;"#EEA918"
80-89 ans;tests positifs / réalisés;21-06-2020;1,06;201;"#EEA918"
80-89 ans;tests positifs / réalisés;28-06-2020;0,84;158;"#EEA918"
80-89 ans;tests positifs / réalisés;05-07-2020;0,8;159;"#ED9D1D"
80-89 ans;tests positifs / réalisés;12-07-2020;0,61;119;"#ED9D1D"
80-89 ans;tests positifs / réalisés;19-07-2020;0,66;125;"#ED9D1D"
80-89 ans;tests positifs / réalisés;26-07-2020;0,76;178;"#EC9221"
80-89 ans;tests positifs / réalisés;02-08-2020;0,86;213;"#EC9221"
80-89 ans;tests positifs / réalisés;09-08-2020;1,26;299;"#EC9221"
80-89 ans;tests positifs / réalisés;16-08-2020;1,51;351;"#EB8626"
80-89 ans;tests positifs / réalisés;23-08-2020;1,55;429;"#EB8626"
80-89 ans;tests positifs / réalisés;30-08-2020;1,97;612;"#EB8626"
80-89 ans;tests positifs / réalisés;06-09-2020;3,01;977;"#EA7A2A"
80-89 ans;tests positifs / réalisés;13-09-2020;4,19;1433;"#EA7A2A"
80-89 ans;tests positifs / réalisés;20-09-2020;5,34;1840;"#EA7A2A"
80-89 ans;tests positifs / réalisés;27-09-2020;5,9;1884;"#E96F2E"
80-89 ans;tests positifs / réalisés;04-10-2020;6,58;2092;"#E96F2E"
80-89 ans;tests positifs / réalisés;11-10-2020;10,41;3598;"#E96F2E"
80-89 ans;tests positifs / réalisés;18-10-2020;14,82;6076;"#E86333"
80-89 ans;tests positifs / réalisés;25-10-2020;22,51;11677;"#E86333"
80-89 ans;tests positifs / réalisés;01-11-2020;23,79;14980;"#E86333"
80-89 ans;tests positifs / réalisés;08-11-2020;22,72;14950;"#E75737"
80-89 ans;tests positifs / réalisés;15-11-2020;21,42;11456;"#E75737"
80-89 ans;tests positifs / réalisés;22-11-2020;17,8;7904;"#ffffff"
80-89 ans;tests positifs / réalisés;29-11-2020;15,59;5794;"#3498db"
>=90 ans;tests positifs / réalisés;17-05-2020;4,59;398;"#f1c40f"
>=90 ans;tests positifs / réalisés;24-05-2020;4,57;546;"#F0B813"
>=90 ans;tests positifs / réalisés;31-05-2020;3,27;374;"#F0B813"
>=90 ans;tests positifs / réalisés;07-06-2020;2,92;263;"#F0B813"
>=90 ans;tests positifs / réalisés;14-06-2020;1,94;161;"#EEA918"
>=90 ans;tests positifs / réalisés;21-06-2020;1,25;100;"#EEA918"
>=90 ans;tests positifs / réalisés;28-06-2020;1,06;86;"#EEA918"
>=90 ans;tests positifs / réalisés;05-07-2020;1,04;89;"#ED9D1D"
>=90 ans;tests positifs / réalisés;12-07-2020;0,76;60;"#ED9D1D"
>=90 ans;tests positifs / réalisés;19-07-2020;0,76;56;"#ED9D1D"
>=90 ans;tests positifs / réalisés;26-07-2020;0,91;83;"#EC9221"
>=90 ans;tests positifs / réalisés;02-08-2020;0,92;86;"#EC9221"
>=90 ans;tests positifs / réalisés;09-08-2020;1,33;122;"#EC9221"
>=90 ans;tests positifs / réalisés;16-08-2020;1,46;142;"#EB8626"
>=90 ans;tests positifs / réalisés;23-08-2020;1,57;177;"#EB8626"
>=90 ans;tests positifs / réalisés;30-08-2020;2,11;261;"#EB8626"
>=90 ans;tests positifs / réalisés;06-09-2020;3,47;434;"#EA7A2A"
>=90 ans;tests positifs / réalisés;13-09-2020;5,44;785;"#EA7A2A"
>=90 ans;tests positifs / réalisés;20-09-2020;6,08;926;"#EA7A2A"
>=90 ans;tests positifs / réalisés;27-09-2020;6,27;852;"#E96F2E"
>=90 ans;tests positifs / réalisés;04-10-2020;7,76;1100;"#E96F2E"
>=90 ans;tests positifs / réalisés;11-10-2020;11,4;1728;"#E96F2E"
>=90 ans;tests positifs / réalisés;18-10-2020;16,25;3198;"#E86333"
>=90 ans;tests positifs / réalisés;25-10-2020;24;6531;"#E86333"
>=90 ans;tests positifs / réalisés;01-11-2020;23,82;7885;"#E86333"
>=90 ans;tests positifs / réalisés;08-11-2020;23,13;8065;"#E75737"
>=90 ans;tests positifs / réalisés;15-11-2020;24,72;7119;"#E75737"
>=90 ans;tests positifs / réalisés;22-11-2020;24,15;5304;"#ffffff"
>=90 ans;tests positifs / réalisés;29-11-2020;23,63;4121;"#3498db"
