name;category;date;y;z;color
h1-dc-%max;France;05-07-2020;3,1;103;"#EEA918"
h1-dc-%max;France;12-07-2020;3,7;125;"#EEA918"
h1-dc-%max;France;19-07-2020;2,5;85;"#EEA918"
h1-dc-%max;France;26-07-2020;1,9;65;"#EEA918"
h1-dc-%max;France;02-08-2020;2,1;72;"#EEA918"
h1-dc-%max;France;09-08-2020;1,9;63;"#EEA918"
h1-dc-%max;France;16-08-2020;2,5;85;"#EEA918"
h1-dc-%max;France;23-08-2020;2,9;96;"#ED9D1D"
h1-dc-%max;France;30-08-2020;2,8;94;"#ED9D1D"
h1-dc-%max;France;06-09-2020;3,7;126;"#ED9D1D"
h1-dc-%max;France;13-09-2020;5,2;176;"#ED9D1D"
h1-dc-%max;France;20-09-2020;9,6;324;"#ED9D1D"
h1-dc-%max;France;27-09-2020;10;336;"#ED9D1D"
h1-dc-%max;France;04-10-2020;11,5;388;"#ED9D1D"
h1-dc-%max;France;11-10-2020;13,3;449;"#ED9D1D"
h1-dc-%max;France;18-10-2020;19,8;667;"#EC9221"
h1-dc-%max;France;25-10-2020;31,8;1070;"#EC9221"
h1-dc-%max;France;01-11-2020;51,5;1733;"#EC9221"
h1-dc-%max;France;08-11-2020;76,2;2562;"#EC9221"
h1-dc-%max;France;15-11-2020;85,6;2879;"#EC9221"
h1-dc-%max;France;22-11-2020;78,4;2636;"#EC9221"
h1-dc-%max;France;29-11-2020;73,6;2477;"#EC9221"
h1-dc-%max;France;06-12-2020;61,6;2072;"#EB8626"
h1-dc-%max;France;13-12-2020;58,8;1979;"#EB8626"
h1-dc-%max;France;20-12-2020;53,5;1800;"#EB8626"
h1-dc-%max;France;27-12-2020;52,8;1776;"#EB8626"
h1-dc-%max;France;03-01-2021;50,7;1706;"#EB8626"
h1-dc-%max;France;10-01-2021;55,8;1877;"#EB8626"
h1-dc-%max;France;17-01-2021;53,2;1790;"#EB8626"
h1-dc-%max;France;24-01-2021;63,9;2149;"#EB8626"
h1-dc-%max;France;31-01-2021;67,8;2281;"#EA7A2A"
h1-dc-%max;France;07-02-2021;66,2;2228;"#EA7A2A"
h1-dc-%max;France;14-02-2021;66,4;2233;"#EA7A2A"
h1-dc-%max;France;21-02-2021;59,8;2011;"#EA7A2A"
h1-dc-%max;France;28-02-2021;52,7;1772;"#EA7A2A"
h1-dc-%max;France;07-03-2021;54,3;1828;"#EA7A2A"
h1-dc-%max;France;14-03-2021;51,1;1718;"#EA7A2A"
h1-dc-%max;France;21-03-2021;52,2;1755;"#EA7A2A"
h1-dc-%max;France;28-03-2021;51,2;1724;"#E96F2E"
h1-dc-%max;France;04-04-2021;58,8;1977;"#E96F2E"
h1-dc-%max;France;11-04-2021;61;2052;"#E96F2E"
h1-dc-%max;France;18-04-2021;57,6;1937;"#E96F2E"
h1-dc-%max;France;25-04-2021;62;2084;"#E96F2E"
h1-dc-%max;France;02-05-2021;57;1919;"#E96F2E"
h1-dc-%max;France;09-05-2021;45,6;1534;"#E96F2E"
h1-dc-%max;France;16-05-2021;35,9;1209;"#E86333"
h1-dc-%max;France;23-05-2021;27,5;925;"#E86333"
h1-dc-%max;France;30-05-2021;22,5;756;"#E86333"
h1-dc-%max;France;06-06-2021;17,3;582;"#E86333"
