name;category;date;y;z;color
70-79 ans;tests positifs / réalisés;30-08-2020;2,05;1170;"#E96F2E"
70-79 ans;tests positifs / réalisés;06-09-2020;2,63;1617;"#E86333"
70-79 ans;tests positifs / réalisés;13-09-2020;3,84;2281;"#E86333"
70-79 ans;tests positifs / réalisés;20-09-2020;4,83;2787;"#E75737"
70-79 ans;tests positifs / réalisés;27-09-2020;5,51;3032;"#ffffff"
70-79 ans;tests positifs / réalisés;04-10-2020;6,58;3536;"#3498db"
80-89 ans;tests positifs / réalisés;17-05-2020;3,61;509;"#F0B813"
80-89 ans;tests positifs / réalisés;24-05-2020;3,07;661;"#F0B813"
80-89 ans;tests positifs / réalisés;31-05-2020;1,9;435;"#EEA918"
80-89 ans;tests positifs / réalisés;07-06-2020;1,77;335;"#EEA918"
80-89 ans;tests positifs / réalisés;14-06-2020;1,17;226;"#ED9D1D"
80-89 ans;tests positifs / réalisés;21-06-2020;1,02;200;"#ED9D1D"
80-89 ans;tests positifs / réalisés;28-06-2020;0,8;155;"#ED9D1D"
80-89 ans;tests positifs / réalisés;05-07-2020;0,77;158;"#EC9221"
80-89 ans;tests positifs / réalisés;12-07-2020;0,57;114;"#EC9221"
80-89 ans;tests positifs / réalisés;19-07-2020;0,64;124;"#EB8626"
80-89 ans;tests positifs / réalisés;26-07-2020;0,74;177;"#EB8626"
80-89 ans;tests positifs / réalisés;02-08-2020;0,83;210;"#EA7A2A"
80-89 ans;tests positifs / réalisés;09-08-2020;1,23;296;"#EA7A2A"
80-89 ans;tests positifs / réalisés;16-08-2020;1,45;347;"#EA7A2A"
80-89 ans;tests positifs / réalisés;23-08-2020;1,5;426;"#E96F2E"
80-89 ans;tests positifs / réalisés;30-08-2020;1,9;609;"#E96F2E"
80-89 ans;tests positifs / réalisés;06-09-2020;2,91;973;"#E86333"
80-89 ans;tests positifs / réalisés;13-09-2020;4,02;1425;"#E86333"
80-89 ans;tests positifs / réalisés;20-09-2020;5,09;1813;"#E75737"
80-89 ans;tests positifs / réalisés;27-09-2020;5,66;1868;"#ffffff"
80-89 ans;tests positifs / réalisés;04-10-2020;6,21;2050;"#3498db"
